key;brand;model;4G_bands;EDGE;announced;dimentions;weight_g;SIM;display_resolution;display_size;OS;CPU;GPU;memory_card;internal_memory;RAM;primary_camera;secondary_camera;loud_speaker;audio_jack;bluetooth;GPS;NFC;radio;USB;sensors;battery;colors;approx_price_EUR;img_url
Meizu PRO 5;Meizu;pro.05;LTE band 1(2100)| 3(1800)| 7(2600)| 38(2600)| 39(1900)| 40(2300)| 41(2500) - M576 model;Yes;2015  September;156.7 x 78 x 7.5 mm (6.17 x 3.07 x 0.30 in);168;Dual SIM (Nano-SIM| dual stand-by);5.7 inches (~73.3% screen-to-body ratio);1080 x 1920 pixels (~386 ppi pixel density);Android 5.1 (Lollipop);Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53);Mali-T760MP8;microSD  up to 256 GB (uses SIM 2 slot);32 GB;3 GB RAM;21 MP| f/2.2| 31mm| phase detection & laser autofocus| dual-LED (dual tone) flash| ;5 MP| f/2.0| 27mm| 1080p@30fps;Yes;Yes;4.1| A2DP| LE;Yes with A-GPS GLONASS BDS;Yes;No;Type-C 1.0 reversible connector;Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass;Non-removable Li-Ion 3050 mAh battery;Gray| Gold| Silver| Black/Silver;390;http://cdn2.gsmarena.com/vv/bigpic/meizu-pro-5.jpg
Meizu M2;Meizu;M2; LTE;Yes;2015  July;140.1 x 68.9 x 8.7 mm (5.52 x 2.71 x 0.34 in);131;Dual SIM (Nano-SIM| dual stand-by);5.0 inches (~71.4% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSD  up to 256 GB (uses SIM 2 slot);16 GB;2 GB RAM;13 MP| f/2.2| autofocus| LED flash;5 MP| f/2.0;Yes;Yes;4.0| A2DP| LE;Yes with A-GPS GLONASS;;No;microUSB 2.0;Accelerometer| proximity| compass;Non-removable 2500 mAh battery;Gray| White| Blue| Pink;130;http://cdn2.gsmarena.com/vv/bigpic/meizu-m2.jpg
Meizu MX5;Meizu;MX5; LTE;Yes;2015  June;149.9 x 74.7 x 7.6 mm (5.90 x 2.94 x 0.30 in);149;Dual SIM (Nano-SIM| dual stand-by);5.5 inches (~74.5% screen-to-body ratio);1080 x 1920 pixels (~401 ppi pixel density);Android 5.0.1 (Lollipop);Octa-core 2.2 GHz Cortex-A53;PowerVR G6200;No;16/32/64 GB;3 GB RAM;20.7 MP| f/2.2| laser autofocus| dual-LED (dual tone) flash| ;5 MP| f/2.2| 1080p@30fps;Yes;Yes;4.1| A2DP| LE;Yes with A-GPS GLONASS BDS;;No;microUSB 2.0| USB On-The-Go;Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass;Non-removable Li-Ion 3150 mAh battery;Gray| Gold| Silver| Black/Silver;210;http://cdn2.gsmarena.com/vv/bigpic/meizu-mx5.jpg
Meizu M2 Note;Meizu;M2 Note;LTE band 1(2100)| 3(1800)| 7(2600)| 38(2600)| 39(1900)| 40(2300)| 41(2500);Yes;2015  June;150.9 x 75.2 x 8.7 mm (5.94 x 2.96 x 0.34 in);149;Dual SIM (Nano-SIM| dual stand-by);5.5 inches (~72.8% screen-to-body ratio);1080 x 1920 pixels (~403 ppi pixel density);Android 5.0 (Lollipop);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;microSD  up to 256 GB (uses SIM 2 slot);16/32 GB;2 GB RAM;13 MP| f/2.2| autofocus| dual-LED (dual tone) flash| ;"5 MP| f/2.0| 1/5"" sensor size| 1.12 µm pixel size| 1080p";Yes;Yes;4.0| A2DP| LE;Yes with A-GPS GLONASS;;No;microUSB 2.0| USB Host;Accelerometer| gyro| proximity| compass;Non-removable 3100 mAh battery;Gray| White| Blue| Pink;200;http://cdn2.gsmarena.com/vv/bigpic/meizu-m1-note2.jpg
Meizu M1 Note;Meizu;M1 Note;LTE band 1(2100)| 3(1800)| 38(2600)| 41(2500);Yes;2014  December;150.7 x 75.2 x 8.9 mm (5.93 x 2.96 x 0.35 in);145;Dual SIM (Micro-SIM| dual stand-by);5.5 inches (~72.9% screen-to-body ratio);1080 x 1920 pixels (~403 ppi pixel density);Android 4.4.4 (KitKat);Octa-core 1.7 GHz Cortex-A53;Mali-T760;No;16/32 GB;2 GB RAM;13 MP| f/2.2| autofocus| dual-LED (dual tone) flash| ;5 MP| f/2.0;Yes;Yes;4.0| A2DP| LE;Yes with A-GPS GLONASS;;No;microUSB 2.0| USB Host;Accelerometer| gyro| proximity| compass;Non-removable 3140 mAh battery;White| Blue| Yellow| Green| Pink;130;http://cdn2.gsmarena.com/vv/bigpic/meizu-m1-note-1.jpg
Meizu M1;Meizu;M1;LTE band 1(2100)| 3(1800)| 38(2600)| 41(2500);Yes;2015  January;140.2 x 72.1 x 8.9 mm (5.52 x 2.84 x 0.35 in);128;Micro-SIM;5.0 inches (~69.9% screen-to-body ratio);768 x 1280 pixels (~300 ppi pixel density);Android 4.4.4 (KitKat);Quad-core 1.5 GHz Cortex-A53;Mali-T760MP2;microSD  up to 256 GB (dedicated slot);8 GB;1 GB RAM;13 MP| f/2.2| autofocus| LED flash;5 MP| f/2.0;Yes;Yes;4.0| A2DP| LE;Yes with A-GPS GLONASS;;No;microUSB 2.0| USB Host;Accelerometer| gyro| proximity| compass;Non-removable Li-Ion 2500 mAh battery;White| BLue| Yellow| Green| Pink| Mint;100;http://cdn2.gsmarena.com/vv/bigpic/meizu-m1-note-mini.jpg
Meizu MX4 Pro;Meizu;MX4 Pro;LTE band 1(2100)| 3(1800)| 7(2600);Yes;2014  October;150.1 x 77 x 9 mm (5.91 x 3.03 x 0.35 in);158;Micro-SIM;5.5 inches (~73.7% screen-to-body ratio);1536 x 2560 pixels (~546 ppi pixel density);Android 4.4.4 (KitKat);Octa-core (4x2.0 GHz Cortex-A15 & 4x1.5 GHz Cortex-A7);Mali-T628MP6;No;16/32/64 GB;3 GB RAM;20.7 MP| f/2.2| autofocus| dual-LED (dual tone) flash| ;5 MP| f/2.0| 1080p@30fps;Yes;Yes;4.0| A2DP| LE;Yes with A-GPS GLONASS BDS QZSS;Yes;No;microUSB 2.0| USB On-The-Go;Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass;Non-removable 3350 mAh battery;Gray| Gold| White;400;http://cdn2.gsmarena.com/vv/bigpic/meizu-mx4-pro1.jpg
Meizu MX4;Meizu;MX4;LTE band 1(2100)| 3(1800)| 7(2600);Yes;2014  September;144 x 75.2 x 8.9 mm (5.67 x 2.96 x 0.35 in);147;Micro-SIM;5.36 inches (~75.5% screen-to-body ratio);1152 x 1920 pixels (~418 ppi pixel density);Android 4.4.4 (KitKat);Octa-core (4x2.2 GHz Cortex-A17 & 4x1.7 GHz Cortex-A7);PowerVR G6200;No;16/32/64 GB;2 GB RAM;20.7 MP| f/2.2| autofocus| dual-LED (dual tone) flash| ;2 MP| 1080p@30fps;Yes;Yes;4.0| A2DP;Yes with A-GPS GLONASS BDS QZSS;;No;microUSB 2.0 (MHL TV-out)| USB Host;Accelerometer| gyro| proximity| compass;Non-removable 3100 mAh battery;Gray| Gold| White;340;http://cdn2.gsmarena.com/vv/bigpic/meizu-mx4-new.jpg
Meizu MX3;Meizu;MX3;;Yes;2013  September;139 x 71.9 x 9.1 mm (5.47 x 2.83 x 0.36 in);143;Micro-SIM;5.1 inches (~74.1% screen-to-body ratio);1080 x 1800 pixels (~412 ppi pixel density);Android 4.2 (Jelly Bean);Octa-core (4x1.6 GHz Cortex-A15 & 4x1.2 GHz Cortex-A7);PowerVR SGX544MP3;No;16/32/64/128 GB;2 GB RAM;8 MP| f/2.0| autofocus| LED flash| ;2 MP| 1080p@30fps;Yes;Yes;4.0| A2DP;Yes with A-GPS GLONASS;Yes;No;microUSB 2.0 (MHL TV-out)| USB Host;Accelerometer| gyro| proximity| compass;Non-removable Li-Po 2400 mAh battery;Black (front panel)| several color options (back panel), white;370;http://cdn2.gsmarena.com/vv/bigpic/meizu-mx3.jpg
Meizu MX2;Meizu;MX2;;Yes;2012  November;124.9 x 64.9 x 10.2 mm (4.92 x 2.56 x 0.40 in);142;Micro-SIM;4.4 inches (~69.3% screen-to-body ratio);800 x 1280 pixels (~343 ppi pixel density);Android 4.1.1 (Jelly Bean);Quad-core 1.6 GHz Cortex-A9;Mali-400MP4;No;16/32/64 GB;2 GB RAM;8 MP| f/2.4| autofocus| LED flash;1.2 MP| 720p@30fps;Yes;Yes;4.0| A2DP;Yes with A-GPS GLONASS;;No;microUSB 2.0 (MHL TV-out)| USB Host;Accelerometer| gyro| proximity| compass;Non-removable Li-Ion 1800 mAh battery;Black front & white back;310;http://cdn2.gsmarena.com/vv/bigpic/meizu-mx2.jpg
Meizu MX 4-core;Meizu;MX 4-core;;Class 12;2012  April;121.3 x 63.3 x 10.3 mm (4.78 x 2.49 x 0.41 in);139;Micro-SIM;4.0 inches (~62.0% screen-to-body ratio);640 x 960 pixels (~288 ppi pixel density);Android 4.0 (Ice Cream Sandwich);Quad-core 1.4 GHz Cortex-A9;Mali-400;No;32/64 GB;1 GB RAM;8 MP| f/2.2| autofocus| LED flash| ;VGA;Yes;Yes;2.1| A2DP| EDR;Yes with A-GPS;;No;microUSB 2.0 (MHL TV-out)| USB Host;Accelerometer| gyro| proximity| compass;Non-removable Li-Po 1700 mAh battery;Black (front)/ white| green| blue| pink| violet (back);310;http://cdn2.gsmarena.com/vv/bigpic/meizu-mx-quad-core.jpg
Meizu MX;Meizu;MX;;Class 12;2011  December;121.3 x 63.3 x 10.3 mm (4.78 x 2.49 x 0.41 in);139;Micro-SIM;4.0 inches (~62.0% screen-to-body ratio);640 x 960 pixels (~288 ppi pixel density);Android 2.3.5 (Gingerbread)| upgradeable to 4.0 (Ice Cream Sandwich);Dual-core 1.4 GHz Cortex-A9;Mali-400;No;16 GB;1 GB RAM;8 MP| f/2.2| autofocus| LED flash| ;VGA;Yes with stereo speakers;Yes;2.1| A2DP| EDR;Yes with A-GPS;;No;microUSB 2.0 (MHL TV-out)| USB Host;Accelerometer| gyro| proximity| compass;Non-removable Li-Ion 1600 mAh battery;Black/White;270;http://cdn2.gsmarena.com/vv/bigpic/meizu-mx.jpg
Micromax Canvas Evok Power Q4260;Micromax;Canvas Evok Power Q4260;LTE band 3(1800)| 5(850)| 40(2300);Yes;2017  April;144.3 x 72.4 x 9.7 mm (5.68 x 2.85 x 0.38 in);;Dual SIM (Micro-SIM| dual stand-by);5.0 inches (~66.0% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720;microSD  up to 32 GB (uses SIM 2 slot);16 GB;2 GB RAM;8 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio| recording;microUSB 2.0;Fingerprint (rear-mounted)| accelerometer| proximity;Li-Po 4000 mAh battery;Champagne Gold;100;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-evok-power-q4260.jpg
Micromax Canvas Evok Note E453;Micromax;Canvas Evok Note E453;LTE band 3(1800)| 5(850)| 40(2300);Yes;2017  April;153 x 75 x 8.5 mm (6.02 x 2.95 x 0.33 in);162;Dual SIM (Nano-SIM| dual stand-by);5.5 inches (~72.7% screen-to-body ratio);1080 x 1920 pixels (~401 ppi pixel density);Android 6.0 (Marshmallow);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;microSD  up to 32 GB (uses SIM 2 slot);32 GB;3 GB RAM;13 MP| autofocus| dual-LED (dual-tone) flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio| recording;microUSB 2.0;Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass;Non-removable Li-Po 4000 mAh battery;Champagne Gold;140;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-evok-note-e453.jpg
Micromax Brahat 2 Q402;Micromax;Brahat 2 Q402;LTE band 3(1800)| 5(850)| 40(2300);Yes;2017  April;-;;Dual SIM (Micro-SIM| dual stand-by);4.0 inches;480 x 800 pixels (~233 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.1 GHz;;microSD  up to 32 GB;4 GB;512 MB RAM;2 MP| LED flash;VGA;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1300 mAh battery;Gold;50;http://cdn2.gsmarena.com/vv/bigpic/micromax-brahat2-q402.jpg
Micromax Dual 5;Micromax;Dual 5; LTE;Yes;2017  March;-;;Dual SIM;5.5 inches;1080 x 1920 pixels (~401 ppi pixel density);Android 6.0 (Marshmallow);Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53);Adreno 510;To be confirmed;128 GB;4 GB RAM;Dual 13 MP| phase detection autofocus| dual-LED (dual tone) flash;13 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;To be confirmed;Type-C 1.0 reversible connector;Fingerprint (rear-mounted)| accelerometer| proximity| compass;Non-removable Li-Ion 3200 mAh battery;Gold;360;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-dual-5.jpg
Micromax Spark Vdeo Q415;Micromax;Spark Vdeo Q415;LTE band 3(1800)| 5(850)| 40(2300);Yes;2017  March;133.8 x 67.5 x 10 mm (5.27 x 2.66 x 0.39 in);140;Dual SIM (Micro-SIM| dual stand-by);4.5 inches (~61.8% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.1 GHz;;microSD  up to 32 GB;8 GB;1 GB RAM;5 MP| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1800 mAh battery;Gold;60;http://cdn2.gsmarena.com/vv/bigpic/micromax-spark-vdeo-q415.jpg
Micromax Vdeo 5;Micromax;Vdeo 5;LTE band 3(1800)| 5(850)| 40(2300);Yes;2017  February;153.5 x 77.6 x 8.6 mm (6.04 x 3.06 x 0.34 in);;Dual SIM;5.5 inches (~70.0% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz;;microSD  up to 32 GB;8 GB;1 GB RAM;8 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Li-Ion 3000 mAh battery;Gold;100;http://cdn2.gsmarena.com/vv/bigpic/micromax-vdeo-5.jpg
Micromax Vdeo 4;Micromax;Vdeo 4;LTE band 3(1800)| 5(850)| 40(2300);Yes;2017  January;-;;Dual SIM (Micro-SIM);5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.1 GHz Cortex-A7;Adreno 304;microSD  up to 32 GB;8 GB;1 GB RAM;8 MP| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Non-removable Li-Ion 4000 mAh battery;Gold;90;http://cdn2.gsmarena.com/vv/bigpic/micromax-vdeo-4.jpg
Micromax Vdeo 3;Micromax;Vdeo 3;LTE band 3(1800)| 5(850)| 40(2300);Yes;2017  January;132 x 66 x 9.7 mm (5.20 x 2.60 x 0.38 in);;Dual SIM;4.5 inches (~64.1% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz;;microSD  up to 32 GB;8 GB;1 GB RAM;5 MP| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Li-Ion 1800 mAh battery;Rose Gold;80;http://cdn2.gsmarena.com/vv/bigpic/micromax-vdeo-3.jpg
Micromax Vdeo 2;Micromax;Vdeo 2;LTE band 3(1800)| 5(850)| 40(2300);Yes;2016  December;-;;Dual SIM;4.5 inches;480 x 854 pixels (~218 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz;;microSD  up to 32 GB;8 GB;1 GB RAM;5 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1800 mAh battery;Rose Gold| Black;70;http://cdn2.gsmarena.com/vv/bigpic/micromax-vdeo2.jpg
Micromax Vdeo 1;Micromax;Vdeo 1;LTE band 3(1800)| 5(850)| 40(2300);Yes;2016  December;-;;Dual SIM;4.0 inches;480 x 800 pixels (~233 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz;;microSD  up to 32 GB;8 GB;1 GB RAM;5 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1600 mAh battery;Rose Gold| Black;60;http://cdn2.gsmarena.com/vv/bigpic/micromax-vdeo-.jpg
Micromax Canvas Spark 4G Q4201;Micromax;Canvas Spark 4G Q4201;LTE band 3(1800)| 5(850)| 40(2300);Yes;2016  November;144 x 72.7 x 10.6 mm (5.67 x 2.86 x 0.42 in);165;Dual SIM;5.0 inches (~65.8% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz;;microSD  up to 32 GB;8 GB;1 GB RAM;5 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2000 mAh battery;White Champagne;70;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-spark-4g-q4201.jpg
Micromax Canvas Fire 6 Q428;Micromax;Canvas Fire 6 Q428;LTE band 3(1800)| 5(850)| 40(2300);Yes;2016  October;145 x 73 x 8.3 mm (5.71 x 2.87 x 0.33 in);155;Dual SIM;5.0 inches (~65.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.0 GHz Cortex-A53;;microSD  up to 32 GB;8 GB;1 GB RAM;8 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Li-Ion 3050 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-fire-6-q428.jpg
Micromax Canvas 5 Lite Q462;Micromax;Canvas 5 Lite Q462;LTE band 3(1800)| 5(850)| 40(2300);Yes;2016  September;144 x 73.5 x 8.9 mm (5.67 x 2.89 x 0.35 in);151;Dual SIM;5.0 inches (~65.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSD  up to 32 GB;16 GB;2 GB RAM;8 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Li-Ion 2000 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-5-lite-q462.jpg
Micromax Bolt Q381;Micromax;Bolt Q381;;Yes;2016  July;-;;Dual SIM (Micro-SIM/ Mini-SIM| dual stand-by);5.0 inches;480 x 854 pixels (~196 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.3 GHz Cortex-A7;;microSD  up to 32 GB;8 GB;1 GB RAM;5 MP;VGA;Yes;Yes;Yes;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2000 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/micromax-bolt-q381.jpg
Micromax Canvas Mega 2 Q426;Micromax;Canvas Mega 2 Q426;LTE band 3(1800)| 5(850)| 40(2300);Yes;2016  August;-;;Dual SIM (Micro-SIM| dual stand-by);6.0 inches;540 x 960 pixels (~184 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.3 GHz;;microSD  up to 32 GB;8 GB;1 GB RAM;8 MP| autofocus| LED flash;5 MP;Yes;Yes;Yes;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Li-Ion 3000 mAh battery;Black;100;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-mega-2-q426.jpg
Micromax Canvas Spark 2 Plus Q350;Micromax;Canvas Spark 2 Plus Q350;;Yes;2016  July;-;;Dual SIM;5.0 inches;480 x 854 pixels (~196 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSD  up to 32 GB;8 GB;1 GB RAM;5 MP| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Li-Ion 2000 mAh battery;Gray| Copper Gold| Champagne Gold;50;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-spark-2-plus-q350.jpg
Micromax Canvas Spark 3 Q385;Micromax;Canvas Spark 3 Q385;;Yes;2016  July;-;;Dual SIM (Micro-SIM| dual stand-by);5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.3 GHz Cortex-A7;;microSD  up to 32 GB;8 GB;1 GB RAM;8 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2500 mAh battery;Black;70;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-spark-3-q385.jpg
Micromax Canvas Amaze 2 E457;Micromax;Canvas Amaze 2 E457; LTE 1800 / 2100 / 2300;Yes;2016  July;-;;Dual SIM;5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 5.0.2 (Lollipop);Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Adreno 405;microSD  up to 32 GB;16 GB;2 GB RAM;13 MP| autofocus| dual-LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Po 2500 mAh battery;Black;100;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-amaze-2-e457.jpg
Micromax Canvas xp 4G Q413;Micromax;Canvas xp 4G Q413;LTE band 3(1800)| 5(850)| 40(2300);Yes;2016  May;-;;Dual SIM (Micro-SIM| dual stand-by);5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.0 GHz;;microSD  up to 32 GB;16 GB;3 GB RAM;8 MP| autofocus| LED flash;2 MP;Yes;Yes;Yes;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Li-Ion 2000 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/micromax-q413.jpg
Micromax Bolt Supreme 2 Q301;Micromax;Bolt Supreme 2 Q301;;Yes;2016  May;-;;Dual SIM (Micro-SIM| dual stand-by);4.0 inches;480 x 800 pixels (~233 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.2 GHz;;microSD  up to 32 GB;4 GB;512 MB RAM;2 MP| LED flash;VGA;Yes;Yes;2.sij;A-GPS only;;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1400 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/micromax-bolt-q301.jpg
Micromax Bolt Supreme Q300;Micromax;Bolt Supreme Q300;;Yes;2016  May;-;;Dual SIM (Micro-SIM| dual stand-by);3.5 inches;320 x 480 pixels (~165 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.2 GHz;;microSD  up to 32 GB;4 GB;512 MB RAM;2 MP| LED flash;VGA;Yes;Yes;2.sij;No;;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1200 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/micromax-q300.jpg
Micromax Canvas Evok E483;Micromax;Canvas Evok E483;LTE band 3(1800)| 5(850);Yes;2016  May;-;;Dual SIM (Micro-SIM/Nano-SIM| dual stand-by);5.5 inches;720 x 1280 pixels (~267 ppi pixel density);Android 5.1 (Lollipop);Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Adreno 405;microSD  up to 64 GB;16 GB;3 GB RAM;13 MP| autofocus| dual-LED flash;5 MP| 1080p;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Li-Ion 3000 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-evok-e483.jpg
Micromax Bolt Selfie Q424;Micromax;Bolt Selfie Q424;LTE band 3(1800)| 5(850)| 40(2300);Yes;2016  May;-;;Dual SIM (Micro-SIM| dual stand-by);4.5 inches;480 x 854 pixels (~218 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.0 GHz;;microSD  up to 32 GB;8 GB;1 GB RAM;5 MP| autofocus| LED flash;5 MP;Yes;Yes;Yes;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Li-Ion 1750 mAh battery;Black| White;;http://cdn2.gsmarena.com/vv/bigpic/micromax-bolt-selfie-q424.jpg
Micromax Bolt supreme 4 Q352;Micromax;Bolt supreme 4 Q352;;Yes;2016  July;-;;Dual SIM (Mini-SIM/ Micro-SIM| dual stand-by);5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSD  up to 64 GB;8 GB;1 GB RAM;8 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2000 mAh battery;Black/Gold;;http://cdn2.gsmarena.com/vv/bigpic/micromax-q352.jpg
Micromax Canvas Selfie 4;Micromax;Canvas Selfie 4;;Yes;2016  May;-;;Dual SIM (Micro-SIM| dual stand-by);5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSD  up to 32 GB;8 GB;1 GB RAM;8 MP| autofocus| LED flash;8 MP| LED flash;Yes;Yes;Yes;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Li-Ion 2500 mAh battery;Gold;;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-selfie-4.jpg
Micromax Unite 4 plus;Micromax;Unite 4 plus;LTE band 3(1800)| 5(850)| 40(2300);Yes;2016  July;-;;Dual SIM (Micro-SIM| dual stand-by);5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1 GHz;;microSD  up to 64 GB;16 GB;2 GB RAM;8 MP| autofocus| LED flash;5 MP| LED flash;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Fingerprint (front-mounted)| accelerometer| proximity;Li-Ion 2500 mAh battery;Champagne| Grey| Silver;;http://cdn2.gsmarena.com/vv/bigpic/canvas-unite4-plus.jpg
Micromax Canvas Unite 4;Micromax;Canvas Unite 4;LTE band 3(1800)| 5(850)| 40(2300);Yes;2016  June;-;;Dual SIM (Micro-SIM| dual stand-by);5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.4 GHz;;microSD  up to 32 GB;8 GB;1 GB RAM;8 MP| autofocus| LED flash;5 MP| LED flash;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Fingerprint (front-mounted)| accelerometer| proximity;Li-Ion 2500 mAh battery;Champagne| Grey| Silver;;http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-unite-4.jpg
