key;brand;model;4G_bands;EDGE;announced;dimentions;weight_g;SIM;display_resolution;display_size;OS;CPU;GPU;memory_card;internal_memory;RAM;primary_camera;secondary_camera;loud_speaker;audio_jack;bluetooth;GPS;NFC;radio;USB;sensors;battery;colors;approx_price_EUR;img_url
Gigabyte GSmart Roma RX;Gigabyte;GSmart Roma RX;;Yes;2015  January;142 x 73 x 9.5 mm (5.59 x 2.87 x 0.37 in);155;Dual SIM (Mini-SIM/ Micro-SIM| dual stand-by);5.0 inches (~66.5% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 4.4 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSD  up to 32 GB (dedicated slot);4 GB;512 MB RAM;5 MP;VGA;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2000 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-rx.jpg
Gigabyte GSmart Akta A4;Gigabyte;GSmart Akta A4;;Yes;2014  November;147 x 73 x 9.6 mm (5.79 x 2.87 x 0.38 in);158;Dual SIM (Mini-SIM/ Micro-SIM);5.0 inches (~64.2% screen-to-body ratio);540 x 960 pixels (~220 ppi pixel density);Android 4.4.2 (KitKat);Octa-core 1.4 GHz Cortex-A7;Mali-450MP4;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;13 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0| USB Host;Accelerometer| gyro| proximity| compass;Removable Li-Ion 1800 mAh battery;Navy Blue;;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Akta-A4.jpg
Gigabyte GSmart Mika M3;Gigabyte;GSmart Mika M3;;Yes;2014  October;144 x 70.5 x 8.3 mm (5.67 x 2.78 x 0.33 in);146;Dual SIM (Mini-SIM/ Micro-SIM);5.0 inches (~67.9% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;13 MP| autofocus| LED flash;8 MP;Yes;Yes;3.0;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 1900 mAh battery;Navy Blue;;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Mika-M4.jpg
Gigabyte GSmart GX2;Gigabyte;GSmart GX2;;Yes;2014  August;146.5 x 73.4 x 8.7 mm (5.77 x 2.89 x 0.34 in);135;Dual SIM (Micro-SIM);5.0 inches (~64.1% screen-to-body ratio);1080 x 1920 pixels (~441 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.6 GHz Cortex-A7;Adreno 305;microSD  up to 64 GB (dedicated slot);8 GB;2 GB RAM;13 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Ion 2200 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-gx2.jpg
Gigabyte GSmart Guru (White Edition);Gigabyte;GSmart Guru (White Edition);;Yes;2014  August;147 x 72.1 x 8.5 mm (5.79 x 2.84 x 0.33 in);165;Micro-SIM;5.0 inches (~65.0% screen-to-body ratio);1080 x 1920 pixels (~441 ppi pixel density);Android 4.2.2 (Jelly Bean);Quad-core 1.5 GHz Cortex-A7;PowerVR SGX544;No;32 GB;2 GB RAM;13 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Ion 3000 mAh battery;White;;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-white.jpg
Gigabyte GSmart T4 (Lite Edition);Gigabyte;GSmart T4 (Lite Edition);;Yes;2014  July;124.5 x 64 x 10.3 mm (4.90 x 2.52 x 0.41 in);115;Dual SIM (Mini-SIM);4.0 inches (~57.2% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.2.2 (Jelly Bean);Dual-core 1.0 GHz Cortex-A7;Mali-400;microSD  up to 32 GB (dedicated slot);4 GB;512 MB RAM;5 MP;VGA;Yes;Yes;3.0;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 1300 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-t4-lite.jpg
Gigabyte GSmart Arty A3;Gigabyte;GSmart Arty A3;;Yes;2014  July;145 x 73.2 x 9.4 mm (5.71 x 2.88 x 0.37 in);165;Dual SIM (Mini-SIM);5.0 inches (~64.9% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSD  up to 32 GB (dedicated slot);4 GB;1 GB RAM;8 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2000 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-a3.jpg
Gigabyte GSmart Mika M2;Gigabyte;GSmart Mika M2;;Yes;2014  June;145 x 72.8 x 8.5 mm (5.71 x 2.87 x 0.33 in);150;Dual SIM (Mini-SIM);5.0 inches (~65.3% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;13 MP| autofocus| LED flash;5 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2000 mAh battery;Black;190;http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-m2.jpg
Gigabyte GSmart T4;Gigabyte;GSmart T4;;Yes;2014  April;126 x 62 x 9.8 mm (4.96 x 2.44 x 0.39 in);121;Dual SIM;4.0 inches (~58.3% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.2 (Jelly Bean);Dual-core 1.3 GHz Cortex-A7;Mali-400;microSD  up to 32 GB (dedicated slot);4 GB;512 MB RAM;8 MP| autofocus| LED flash;VGA;Yes;Yes;3.0;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 1400 mAh battery;Black| White;100;http://cdn2.gsmarena.com/vv/bigpic/GSmart-T4.jpg
Gigabyte GSmart Saga S3;Gigabyte;GSmart Saga S3;;Yes;2014  April;168 x 83 x 8.5 mm (6.61 x 3.27 x 0.33 in);190;Dual SIM;6.0 inches (~71.2% screen-to-body ratio);720 x 1280 pixels (~245 ppi pixel density);Android 4.2 (Jelly Bean);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;8 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;;FM radio;microUSB 2.0;Accelerometer| proximity;Non-removable Li-Ion 3000 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/GSmart-Saga-S3.jpg
